DOI,type,polymer_family,PolymerName,co_smiles,smiles1,smiles2,co_content1,wt1,mol1,co_smiles1,co_content2,wt2,mol2,mix_content1,mix_smiles1,mix_wt1,mix_mol1,mix_content2,mix_smiles2,mix_wt2,mix_mol2,T5
10.1039/c6ra06742e,homopolymer,,polyphosphates_P1,,[Fr]Oc1ccc(cc1)C(c1ccc(cc1)OP(=O)(c1ccccc1)[Rb])(CCC(=O)OCC12COP(=O)(OC1)OC2)C,,,,100,,,,0,,,,,,,,,236.8
10.1016/j.compositesb.2020.108184,homopolymer,,PI-a,,OC(C[Rb])[Fr],,,,100,,,,0,,,,,,,,,240
10.1016/j.compositesb.2020.108437,homopolymer,,Poly(ether-azomethine)s-2,,CC(C(=O)OC)(C[Fr])[Rb],,,,100,,,,0,,,,,,,,,243
10.1021/ie5008745,homopolymer,,fluorine-containing polyphosphates_1b,,[Fr]NCCC[Si](O[Si](CCCNP(=O)(c1ccccc1)[Rb])(C)C)(C)C,,,,100,,,,0,,,,,,,,,248
10.1007/s10118-010-9075-0,homopolymer,,poly(ether ether ketone)_Ph-PEEK,,[Fr]Nc1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)NC(=O)C(n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)C(C(=O)[Rb])CC)CC,,,,100,,,,0,,,,,,,,,250
10.1080/15685551.2020.1795435,homopolymer,,polyamide-phosphate esters _PPAD-APC_2,,[Rb]Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[Fr],,,,100,,,,0,,,,,,,,,250
10.1016/1381-5148(95)00121-2,homopolymer,,Hexaacrylated cyclophosphazene_HACP,,[Rb]Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)OP(=O)(Oc1ccc(cc1)Br)[Fr],,,,100,,,,0,,,,,,,,,250
10.1002/APP.40855,homopolymer,,PAPO-14,,COC(=O)CCN(CCO)CCO,,,,100,,,,0,,,,,,,,,250
10.1039/d1py00450f,homopolymer,10.1039/d1py00450f,,,[Fr]OCc1ccc(o1)C1OCC(CO1)(CC)COCC1(CC)COC(OC1)c1ccc(o1)COC(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)[Rb],,,,100,,,,0,,,,,,,,,253
10.1021/acsomega.3c06235,copolymer,PS,PS148-b-PFAA-DOPO32,,[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],,,1,,,,50,,,,,,,,,255.39
10.1016/1381-5148(95)00121-2,homopolymer,,epoxy acrylate_(EA),,[Fr]Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)OP(=O)(Oc1ccc(cc1)C)[Rb],,,,100,,,,0,,,,,,,,,257
10.1021/ie301562b,homopolymer,,polyphosphonate_P3,,[Fr]Oc1ccc(cc1)/C=N/CC/N=C/c1ccc(cc1)OP(=O)(Oc1ccccc1)[Rb],,,,100,,,,0,,,,,,,,,258
10.1002/fam.2145,homopolymer,,PBSeb,,CC1(C)COP(=O)(Nc2cccc(c2)NP2(=O)OCC(C)(C)CO2)OC1,,,,100,,,,0,,,,,,,,,258
10.1016/j.polymdegradstab.2006.12.009,homopolymer,,E-51,,[Fr]Nc1ccc(cc1)Cc1ccc(cc1)NP1(=O)OCC2(CO1)COP(=O)(OC2)[Rb],,,,100,,,,0,,,,,,,,,259
10.1021/ie301562b,homopolymer,,polyphosphonate_P2,,[Fr]Oc1ccc(cc1)/C=N/CCNCC/N=C/c1ccc(cc1)OP(=O)(Oc1ccccc1)[Rb],,,,100,,,,0,,,,,,,,,260
10.1002/pat.3692,homopolymer,PA,Polyamide11(PA11),,[Rb]CC(C(=O)Nc1ccc(cc1)/C=C/C(=O)c1ccc2c(c1)ccc(c2)OC)[Fr],,,,100,,,,0,,,,,,,,,260
10.1080/15685551.2020.1795435,homopolymer,,polyamide-phosphate esters _PPAD-APC_3,,[Rb]Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[Fr],,,,100,,,,0,,,,,,,,,260
10.1002/pola.1993.080311303,homopolymer,,poly(ether ether ketone ketone)_Ph-PEEKK,,CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1ccc(cc1)C1(OC(=O)c2c1cccc2)c1ccc(cc1)O[Fr])[Rb],,,,100,,,,0,,,,,,,,,260
10.1080/15685551.2020.1795435,homopolymer,,polyamide-phosphate esters _PPAD-APC_5,,[Rb]Nc1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[Fr],,,,100,,,,0,,,,,,,,,265
10.1002/pola.1993.080311303,homopolymer,,poly(ether ether ketone)_FPh-PEEK,,CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1ccc(cc1)O[Fr])[Rb],,,,100,,,,0,,,,,,,,,265
10.1002/jccs.200900091,homopolymer,,Aromatic Polycarbonates_PC-1,,[Fr]Nc1ccc(cc1)P(=O)(c1ccccc1)c1ccc(cc1)NC(=O)C(N1C(=O)C2C(C1=O)C1C=CC2C2C1C(=O)N(C2)C(C(=O)[Rb])CC)CC,,,,100,,,,0,,,,,,,,,270
"Materials Science-Poland, Vol. 28, No. 2, 2010",homopolymer,PA,poly(amide-imide)s-S-valine_8c,,[Fr]NCP(=O)(c1ccccc1)c1cccc(c1)NC(=O)C(N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb])C(C)C,,,,100,,,,0,,,,,,,,,270
10.1080/15685551.2020.1795435,homopolymer,,polyamide-phosphate esters _PPAD-APC_4,,[Rb]Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[Fr],,,,100,,,,0,,,,,,,,,270
10.1002/pola.1993.080311303,homopolymer,,poly(ether ether ketone)_ClPh-PEEK,,CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1ccc(cc1)C(c1ccc(cc1)O[Fr])(C)C)[Rb],,,,100,,,,0,,,,,,,,,270
10.1016/j.jaap.2014.11.001,homopolymer,,Polycarbonates_PC,,OCCNc1nc(NCCCCCCN[Fr])nc(n1)[Rb],,,,100,,,,0,,,,,,,,,270
10.1021/acsomega.3c06235,copolymer,PS,PS148-b-PFAA-DOPO50,,[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],,,1,,,,100,,,,,,,,,270.47
10.1007/BF03218608,homopolymer,,,,[Rb]C(C(CC)N1C([C@H]([C@H]2C(C(N(C(CC)C(NC3=CC=CC(P(C4=CC=CC(N[Fr])=C4)(C5=CC=CC=C5)=O)=C3)=O)C6=O)=O)C6[C@@H]7C=C2)[C@H]7C1=O)=O)=O,,,,100,,,,0,,,,,,,,,272.5
https://journals.tubitak.gov.tr/chem/vol30/iss5/12/,homopolymer,PA,polyamide,,O=C(C1=CC=C(C(N(C2=CC=C(OC3=CC=C(N4C(C(C=C(C([Fr])=O)C=C5)=C5C4=O)=O)C=C3)C=C2)C6=O)=O)C6=C1)NC7=CC=C(N[Rb])C=C7,,,,100,,,,0,,,,,,,,,272.5
10.1002/pi.6137,homopolymer,PA,polyamides-ODA,,[Fr]Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(cc1)NC(P1(=O)Oc2ccccc2c2c1cccc2)c1ccc(cc1)C(P1(=O)Oc2ccccc2c2c1cccc2)Nc1ccc(cc1)C(=O)[Rb])(C)C,,,,100,,,,0,,,,,,,,,275
"Materials Science-Poland, Vol. 28, No. 2, 2010",homopolymer,polyphosphonate,polyphosphonate_BPPT,,[Fr]NCP(=O)(c1ccccc1)c1cccc(c1)NC(=O)C(N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb])Cc1ccccc1,,,,100,,,,0,,,,,,,,,275
10.1002/pola.1993.080311303,homopolymer,,poly(ether ether ketone)_BrPh-PEEK,,CCCCCCCCCCCCCCCc1cccc(c1)OP(=O)(Oc1c(Br)cc(cc1Br)C(c1cc(Br)c(c(c1)Br)O[Fr])(C)C)[Rb],,,,100,,,,0,,,,,,,,,275
10.1016/j.eurpolymj.2020.109770,homopolymer,,polyimides 4c,,CCCCCCCCCCCCCCCCCCN(Cc1c(O)ccc(c1[Rb])Sc1ccc2c(c1)CN(CO2)CCCCCCCCCCCCCCCCCC)C[Fr],,,,100,,,,0,,,,,,,,,277
10.1002/fam.2145,homopolymer,,PBS,,c1ccc(cc1)NP1(=O)OCC2(CO1)COP(=O)(Nc1ccccc1)OC2,,,,100,,,,0,,,,,,,,,279
10.1007/s10118-010-9075-0,homopolymer,,"pyridine-2,6-diamine(PA-1)",,[Fr]Nc1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)NC(=O)C(n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)C(C(=O)[Rb])Cc1ccccc1)Cc1ccccc1,,,,100,,,,0,,,,,,,,,280
10.1080/15685551.2020.1795435,homopolymer,,polyamide-phosphate esters _PPAD-APC_6,,[Rb]Nc1cccc(c1)NC(=O)Cc1ccc(cc1)Oc1nc(Oc2ccccc2)nc(n1)Oc1ccc(cc1)CC(=O)[Fr],,,,100,,,,0,,,,,,,,,280
10.1080/15685551.2013.771316,homopolymer,,PA6a,,[Rb]NC1=CC=C(C=C1)C2=CC(C3=CC=C(C=C3)Cl)=CC(C4=CC=C(C=C4)NC(CCCCC([Fr])=O)=O)=N2,,,,100,,,,0,,,,,,,,,283
10.1007/s00289-012-0892-x,homopolymer,PA,polyamides 4 containing pendentN-carbazole group,,O=C(NC1=CC(C2=NC(C3=CC=CC=C3)=C(C4=CC=CC=C4)N2)=C(OC5=CC(C(C(F)(F)F)(C(F)(F)F)C6=CC(OC7=CC=C(N[Rb])C=C7C8=NC(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)N8)=CC=C6)=CC=C5)C=C1)CCCCCCCCC([Fr])=O,,,,100,,,,0,,,,,,,,,284
10.1021/acssuschemeng.0c05931,homopolymer,,Polycarbonates_BPA-BHPM,,[Fr]NCCCCCCNP(=O)([Rb])C,,,,100,,,,0,,,,,,,,,286
10.1021/ie301562b,homopolymer,,polybenzexazoles(PBO1),,[Fr]Oc1ccc(cc1)/C=N/c1ccc(cc1)/N=C/c1ccc(cc1)OP(=O)(Oc1ccccc1)[Rb],,,,100,,,,0,,,,,,,,,286
10.1002/app.37910,homopolymer,,,,[Fr]C(C(C=C1)=CC=C1C(NCCN[Rb])=O)=O,,,,100,,,,0,,,,,,,,,289
10.1002/app.23580,homopolymer,,Phosphorous-containing cardo polyesters_P2,,[Fr]Nc1cccc(n1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb])c1ccccc1,,,,100,,,,0,,,,,,,,,290
"Materials Science-Poland, Vol. 28, No. 2, 2010",homopolymer,PA,polyphosphonates_2,,[Fr]NCP(c1ccccc1)(c2cc(NC(C(C)N3C(c4ccc(C([Rb])=O)cc4C3=O)=O)=O)ccc2)=O,,,,100,,,,0,,,,,,,,,290
10.1007/s00289-012-0892-x,homopolymer,PA,polyamides 1 containing pendentN-carbazole group,,O=C(CCCCCCCCC([Fr])=O)NC(C=C1)=CC(C2=NC(C3=CC=CC=C3)=C(N2)C4=CC=CC=C4)=C1OC5=CC(C(C6=CC(OC(C(C7=NC(C8=CC=CC=C8)=C(N7)C9=CC=CC=C9)=C%10)=CC=C%10N[Rb])=CC=C6)=O)=CC=C5,,,,100,,,,0,,,,,,,,,290
10.1016/1381-5148(95)00121-2,homopolymer,,Polyvinyl alcohol_PVA,,COc1ccc(cc1)OP(=O)(Oc1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)O[Rb])[Fr],,,,100,,,,0,,,,,,,,,292
10.5762/KAIS.2013.14.11.6029,homopolymer,,,,[Rb]C(C1=CC=C(C(N(C2=CC=C(C(NC3=C(O)C=C(C4=CC(O)=C(N[Fr])C=C4)C=C3)=O)C=C2)C5=O)=O)C5=C1)=O,,,,100,,,,0,,,,,,,,,294
10.1007/s00289-012-0892-x,homopolymer,PA,polyamides 3 containing pendentN-carbazole group,,O=C(NC1=CC(C2=NC(C3=CC=CC=C3)=C(C4=CC=CC=C4)N2)=C(OC5=CC(C(C(F)(F)F)(C(F)(F)F)C6=CC(OC7=CC=C(N[Rb])C=C7C8=NC(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)N8)=CC=C6)=CC=C5)C=C1)C%11=CC=CC(C([Fr])=O)=N%11,,,,100,,,,0,,,,,,,,,295
10.1080/1023666X.2021.1971835,homopolymer,,polyesters8d,,Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,,,,100,,,,0,,,,,,,,,296
10.1021/acsomega.3c06235,copolymer,PS,PS148-b-PFAA-DOPO80,,[Rb]CC([Fr])C1=CC=CC=C1,O=C(OCP1(OC2=C(C3=C1C=CC=C3)C=CC=C2)=O)C([Fr])C[Rb],,,1,,,,200,,,,,,,,,299.35
10.1002/jccs.200900091,homopolymer,,Polycarbonates_CHDM-BPA,,[Rb]Nc1cccc(c1)P(=O)(c1ccccc1)c1ccc(cc1)NC(=O)C(N1C(=O)C2C(C1=O)C1C=CC2C2C1C(=O)N(C2)C(C(=O)[Fr])CC(C)C)CC(C)C,,,,100,,,,0,,,,,,,,,300
10.1007/s00289-012-0892-x,homopolymer,PA,PAEb3,,O=C(NC1=CC(C2=NC(C3=CC=CC=C3)=C(C4=CC=CC=C4)N2)=C(OC5=CC(C(C6=CC(OC7=CC=C(N[Rb])C=C7C8=NC(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)N8)=CC=C6)=O)=CC=C5)C=C1)C%11=CC=CC(C([Fr])=O)=N%11,,,,100,,,,0,,,,,,,,,301
10.1002/(SICI)1097-4628(19970214)63:7<875::AID-APP7>3.0.CO;2-N,homopolymer,,,,O=C1N(C(C2=CC(OC3=CC(C(N([Rb])C4=O)=O)=C4C=C3)=CC=C21)=O)C5=CC=C(C=C5OP(OCC)(OCC)=O)C(C)(C6=CC(OP(OCC)(OCC)=O)=C([Fr])C=C6)C,,,,100,,,,0,,,,,,,,,301
10.1007/BF03218608,homopolymer,,,,[Rb]C(C(CC(C)C)N1C([C@H]([C@H]2C(C(N(C(CC(C)C)C(NC3=CC=CC(P(C4=CC=CC(N[Fr])=C4)(C5=CC=CC=C5)=O)=C3)=O)C6=O)=O)C6[C@@H]7C=C2)[C@H]7C1=O)=O)=O,,,,100,,,,0,,,,,,,,,302.5
10.1080/1023666X.2021.1971835,homopolymer,,Poly(amide-imide)s-5,,Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1cccc(c1)Oc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,,,,100,,,,0,,,,,,,,,303
10.1007/s10118-010-9075-0,homopolymer,,poly(amide-imide)s-S-valine_8c,,[Fr]Nc1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)NC(=O)C(n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)C(C(=O)[Rb])C)C,,,,100,,,,0,,,,,,,,,305
10.1002/app.24667,homopolymer,,phosphorus-nitrogen-silicon polymeric flame retardant_PNSFR,,CCC1(N(C(N(C(c2cc(C(N(c3cc(P(c4cc(N5C(c6ccc(C([Rb])=O)cc6C5=O)=O)ccc4)(c7ccccc7)=O)ccc3)C8=O)=O)c8cc2)=O)C1=O)=O)[Fr])CC,,,,100,,,,0,,,,,,,,,305
10.1021/sc500548c,homopolymer,,Poly(azo-sulfone-amide)s-(PASAs)-1,,CCCCCCCCCCCCCCCCCCN(Cc1c([Rb])c(CC=C)cc(c1O)OC)[Fr],,,,100,,,,0,,,,,,,,,305
10.1007/s10973-017-6092-z,homopolymer,,Arom-PI-5e,,[Fr]OCCCCOC(=O)CCC(=O)[Rb],,,,100,,,,0,,,,,,,,,306
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,polyamidophosphate-8,,[Rb]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCC(OC(=O)[Fr])C,,,,100,,,,0,,,,,,,,,307
10.5762/KAIS.2013.14.11.6029,homopolymer,,,,[Rb]C(C1=CC=C(C(N(C2=CC=CC(C(NC3=C(O)C=C(C4=CC(O)=C(N[Fr])C=C4)C=C3)=O)=C2)C5=O)=O)C5=C1)=O,,,,100,,,,0,,,,,,,,,308
10.1002/jccs.200900091,homopolymer,,Polycarbonates_CHDM-BHPM,,[Fr]Nc1ccc(cc1)P(=O)(c1ccccc1)c1ccc(cc1)NC(=O)C(N1C(=O)C2C(C1=O)C1C=CC2C2C1C(=O)N(C2)C(C(CC)C)C(=O)[Rb])C(CC)C,,,,100,,,,0,,,,,,,,,310
Journal of the Mexican Chemical Society61.3 (2017): 229-240.,homopolymer,PA,PA1,,[Rb]NC1=CC=C(C(C2=NC(C3=CC=CC=C3)=C(N2)C4=CC=CC=C4)=C1)OC5=CC=C(C=C5)C6=C(N=C(N6)C7=CC=C(C=C7)C(F)(F)F)C8=CC=C(C=C8)OC9=CC=C(C=C9C%10=NC(C%11=CC=CC=C%11)=C(N%10)C%12=CC=CC=C%12)NC(CCCCCCCCC([Fr])=O)=O,,,,100,,,,0,,,,,,,,,310
10.1007/s10853-020-05281-3,homopolymer,,BDTA-4DDS,,[Fr]CC(COc1ccc(cc1)C(c1ccc(cc1)O[Rb])(C)C)O,,,,100,,,,0,,,,,,,,,310.2
10.1039/c5ra18829f,homopolymer,,Polycarbonates_CHDM-CHDM,,[Fr]Oc1ccc(cc1)C1(OC(=O)c2c1cccc2)c1ccc(cc1)OP(=O)(c1ccccc1)[Rb],,,,100,,,,0,,,,,,,,,312
10.1007/BF03218608,homopolymer,,,,[Rb]C(C(C(C)CC)N1C([C@H]([C@H]2C(C(N(C(C(C)CC)C(NC3=CC=CC(P(C4=CC=CC(N[Fr])=C4)(C5=CC=CC=C5)=O)=C3)=O)C6=O)=O)C6[C@@H]7C=C2)[C@H]7C1=O)=O)=O,,,,100,,,,0,,,,,,,,,312.5
10.1002/pat.1515,homopolymer,,aromatic polyamides 15,,[H]C(C(NC1=CC(C(NC2=CC=C(OC3=C([C@@H]4C(C=CC=C5)=C5[C@H]6C7=C4C=CC=C7)C6=C(OC8=CC=C(N[Rb])C=C8)C=C3)C=C2)=O)=CC(C([Fr])=O)=C1)=O)(N9C(C%10C%11C%12=C(C(C%10C9=O)C%13=C%11C=CC=C%13)C=CC=C%12)=O)CC%14=CC=CC=C%14,,,,100,,,,0,,,,,,,,,315
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,polyamidophosphate-7,,[Fr]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCCOCCOCCOCCOC(=O)[Rb],,,,100,,,,0,,,,,,,,,316
10.1080/1023666X.2021.1971835,homopolymer,,Poly(amide-imide)s-3,,Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,,,,100,,,,0,,,,,,,,,316
10.1002/(SICI)1099-0518(19970915)35:12<2453::AID-POLA15>3.0.CO;2-6,homopolymer,,polyamidophosphate-4,,[Fr]Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OCCOC(=O)[Rb],,,,100,,,,0,,,,,,,,,317
10.1002/app.23580,homopolymer,,Phosphorous-containing cardo polyesters_P3,,[Fr]Nc1cccc(c1)P(=O)(c1ccccc1)c1cccc(c1)NC(=O)c1ccc2c(c1)C(=O)N(C2=O)c1cccc(c1)P(=O)(c1cccc(c1)N1C(=O)c2c(C1=O)cc(cc2)C(=O)[Rb])c1ccccc1,,,,100,,,,0,,,,,,,,,320
10.1080/1023666X.2021.1971835,homopolymer,,Poly(amide-imide)s-4,,Cc1cc(ccc1Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)C1(CCCC1)c1ccc(cc1)Oc1ccc(cc1)N)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)C1(CCCC1)c1ccc(cc1)Oc1ccc(cc1)N=Cc1ccc(cc1)Oc1ccc(cc1C)C1(CCCC1)c1ccc(c(C)c1)Oc1ccc(cc1)C=O,,,,100,,,,0,,,,,,,,,320
